MSG	8342432	DISPLAY_COORDS 0 0 1023 767								
MSG	8344122	TRIALID 1								
MSG	8346879	DRIFTCORRECT R RIGHT at 512,384  OFFSET 0.26 deg.  1.5,-13.0 pix.								
MSG	8347536	RECCFG CR 250 2 1 R								
MSG	8347536	ELCLCFG MLRR								
MSG	8347536	GAZE_COORDS 0.00 0.00 1023.00 767.00								
MSG	8347536	THRESHOLDS R 71 146								
MSG	8347536	ELCL_WINDOW_SIZES 176 188 0 0								
MSG	8347536	CAMERA_LENS_FOCAL_LENGTH 38.00								
MSG	8347536	ELCL_PROC ELLIPSE  (5)								
MSG	8347536	ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30								
MSG	8347537	!MODE RECORD CR 250 2 1 R								
EFIX	R	8362525	8362573	52	358.8	467.4	1682			
SSACC	R	8362577								
ESACC	R	8362577	8362617	44	361.9	479.8	362.2	463.1	0.32	60
SFIX	R	8362621								
EFIX	R	8362621	8362641	24	363.7	452.1	1676			
SSACC	R	8362645								
ESACC	R	8362645	8362717	76	367.1	469.2	375.9	458.3	0.26	90
SFIX	R	8362721								
EFIX	R	8362721	8362769	52	381.7	444.9	1676			
SSACC	R	8362773								
ESACC	R	8362773	8363021	252	378.3	440.8	605.3	408.3	3.77	240
SFIX	R	8363025								
EFIX	R	8363025	8363053	32	586.2	445.1	1644			
SSACC	R	8363057								
SBLINK	R	8363173								
EBLINK	R	8363173	8363313	144						
ESACC	R	8363057	8363401	348	577.4	459.1	327.8	476.3	4.09	1436
SFIX	R	8363405								
EFIX	R	8363405	8363609	208	334.8	466.9	1669			
SSACC	R	8363613								
ESACC	R	8363613	8363625	16	326.6	504.4	324.0	479.9	0.48	99
SFIX	R	8363629								
EFIX	R	8363629	8363697	72	325.7	478.2	1671			
SSACC	R	8363701								
ESACC	R	8363701	8363733	36	326.0	471.7	548.9	436.0	3.70	208
SFIX	R	8363737								
EFIX	R	8363737	8363817	84	538.9	443.0	1648			
SSACC	R	8363821								
ESACC	R	8363821	8363829	12	538.6	463.8	551.0	443.7	0.44	55
SFIX	R	8363833								
EFIX	R	8363833	8363865	36	548.3	453.8	1631			
SSACC	R	8363869								
ESACC	R	8363869	8363897	32	546.1	457.6	633.3	421.5	1.59	126
SFIX	R	8363901								
EFIX	R	8363901	8363989	92	624.1	439.1	1600			
SSACC	R	8363993								
ESACC	R	8363993	8364005	16	627.2	432.7	622.7	416.9	0.32	51
SFIX	R	8364009								
